"Timestamp","Cinsiyet","Şirketiniz hangi lokasyonda?","Tam zamanlı mı yarı zamanlı mı çalışıyorsunuz?","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Kaç yıllık deneyiminiz var?","Çalıştığınız Sektor? (Otomotiv, Bankacilik, Saglik vs)","Pozisyonunuzun Ismi?","Pozisyonunuzun Ismi?","Aylık Ortalama Net Maaşınız? (Turk Lirasi)","Yıllık ek net gelirleriniz? (prim bonus ve benzeri gelirlerin toplamı)","Yan haklarınız nelerdir?","Temmuz & Ağustos dönemi zam oranınız nedir?"
"9/25/2024 16:36:14","Kadın","Türkiye","Tam zamanlı","Ofiste","150-199","1-3 Yıl","Diğer","Yönetici asistanı ","Yönetici Asistanı ","10.000-20.000 TL","Ek gelirim yok","Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 16:37:56","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Eğitim","Yurtdışı Eğitim Danışmanı","Yurtdışı Eğitim Danışmanı","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 16:38:10","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Data governance specialist","Data Governance Specialist","61.000-70.000 TL","51.000-70.000 TL","Özel Sağlık Sigortası, Ulaşım Yardımı","%21-%35"
"9/25/2024 16:38:32","Kadın","Yurt dışı","Tam zamanlı","Uzaktan","1-49","5-7 Yıl","Bilgi Teknolojileri ve Yazılım","Frontend and Design","Frontend And Design","41.000-50.000 TL","Ek gelirim yok","Yan hakkim yok","%5-%10"
"9/25/2024 16:39:04","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","5-7 Yıl","Üretim","Kıdemli Veri Analisti","Kıdemli Veri Analisti","61.000-70.000 TL","91.000-110.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 16:39:07","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","RPA Developer ","Rpa Developer ","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 16:39:09","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Diğer","Junior Avukat","Junior Avukat","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 16:40:05","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Diğer","Yeminli Tercümanlık","Yeminli Tercümanlık","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 16:40:11","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Üretim","Project Specialist ","Project Specialist ","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 16:40:56","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Diğer","İnsan kaynakları uzman yardımcısı","İnsan Kaynakları Uzman Yardımcısı","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 16:41:17","Kadın","Türkiye","Tam zamanlı","Uzaktan","100-149","3-5 Yıl","Finans ve Muhasebe","Yazılım test uzmanı","Yazılım Test Uzmanı","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 16:41:30","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Turizm ve Konaklama","Operasyon müdürü","Operasyon Müdürü","51.000-60.000 TL","51.000-70.000 TL","Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 16:41:53","Kadın","Türkiye","Yarı zamanlı","Ofiste","1-49","0-1 Yıl","Perakende ve E-tıcaret","Satış temsilcisi","Satış Temsilcisi","10.000-20.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 16:42:41","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","İnşaat","Ön muhasebe ","Ön Muhasebe ","10.000-20.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 16:43:01","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","9-12 Yıl","Diğer","Assistant manager ","Assistant Manager ","61.000-70.000 TL","111.000-150.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%21-%35"
"9/25/2024 16:44:02","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","0-1 Yıl","Telekomünikasyon","Müşteri hizmetleri temsilcisi ","Müşteri Hizmetleri Temsilcisi ","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 16:46:30","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","9-12 Yıl","Telekomünikasyon","Bölge yöneticisi","Bölge Yöneticisi","51.000-60.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Şirket Aracı","%21-%35"
"9/25/2024 16:46:57","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","3-5 Yıl","Eğitim","Eğitim Teknologu","Eğitim Teknologu","41.000-50.000 TL","Ek gelirim yok","Ulaşım Yardımı","Almadım"
"9/25/2024 16:48:11","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","1-3 Yıl","Diğer","Doktora sonrası araştırmacı","Doktora Sonrası Araştırmacı","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 16:48:34","Kadın","Türkiye","Tam zamanlı","Uzaktan","100-149","0-1 Yıl","Sağlık ve Tıp","Farmakovijilans Uzmanı","Farmakovijilans Uzmanı","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/25/2024 16:49:33","Erkek","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Sağlık ve Tıp","Yardımcı eczacı","Yardımcı Eczacı","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 16:49:46","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Üretim","Teknik Ressam","Teknik Ressam","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 16:50:55","Kadın","Yurt dışı","Tam zamanlı","Uzaktan","1-49","1-3 Yıl","Eğitim","SEO Content Writer ","Seo Content Writer ","41.000-50.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 16:51:39","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Telekomünikasyon","Içerik Moderatörü ","Içerik Moderatörü ","10.000-20.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 16:53:53","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Mühendislik","ziraat mühendisi ","Ziraat Mühendisi ","10.000-20.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 16:56:36","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Finans ve Muhasebe","Hisse araştırma analisti","Hisse Araştırma Analisti","61.000-70.000 TL","150.000 TL ve üstü","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%21-%35"
"9/25/2024 16:57:03","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","1-3 Yıl","Üretim","Satın alma uzmanı ","Satın Alma Uzmanı ","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 16:57:19","Kadın","Yurt dışı","Tam zamanlı","Hybrid","50-99","1-3 Yıl","Dijital Medya ve Eğlence","Data Analyst","Data Analyst","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%5-%10"
"9/25/2024 16:57:40","Kadın","Türkiye","Tam zamanlı","Uzaktan","100-149","12 ve ustu","Dijital Medya ve Eğlence","Sanat yönetmeni","Sanat Yönetmeni","51.000-60.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 16:59:34","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","0-1 Yıl","Finans ve Muhasebe","Satış Destek Yetkilisi","Satış Destek Yetkilisi","10.000-20.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 17:00:53","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Perakende ve E-tıcaret","Kıdemli e ticaret uzmanı ","Kıdemli E Ticaret Uzmanı ","61.000-70.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Aracı","%11-%20"
"9/25/2024 17:01:27","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Çevre ve Enerji","İş analisti","İş Analisti","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 17:01:35","Kadın","Türkiye","Tam zamanlı","Uzaktan","50-99","1-3 Yıl","Dijital Medya ve Eğlence","Performance Marketing Executive","Performance Marketing Executive","21.000-30.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%21-%35"
"9/25/2024 17:04:15","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Turizm ve Konaklama","Misafir İlişkileri Elemanı","Misafir İlişkileri Elemanı","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 17:04:48","Erkek","Türkiye","Tam zamanlı","Ofiste","1-49","7-9 Yıl","Turizm ve Konaklama","Head sommelier","Head Sommelier","21.000-30.000 TL","31.000-50.000 TL","Yan hakkim yok","Almadım"
"9/25/2024 17:06:02","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","1-3 Yıl","Finans ve Muhasebe","Bankacı","Bankacı","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%11-%20"
"9/25/2024 17:06:31","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","5-7 Yıl","Sağlık ve Tıp","Acil hekimi - pratisyen hekim","Acil Hekimi - Pratisyen Hekim","120.000 TL ve üstü","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:06:52","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Otomotiv","Muhasebe ","Muhasebe ","10.000-20.000 TL","Ek gelirim yok","Şirket Aracı","Almadım"
"9/25/2024 17:06:56","Kadın","Yurt dışı","Tam zamanlı","Uzaktan","200 ve ustu","3-5 Yıl","Telekomünikasyon","Müşteri Destek Uzmanı ","Müşteri Destek Uzmanı ","21.000-30.000 TL","Ek gelirim yok","Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 17:07:51","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","7-9 Yıl","Diğer","Kıdemli Avukat","Kıdemli Avukat","61.000-70.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 17:07:56","Kadın","Türkiye","Yarı zamanlı","Ofiste","1-49","3-5 Yıl","Sağlık ve Tıp","Fizyoterapist ","Fizyoterapist ","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:08:07","Kadın","Türkiye","Tam zamanlı","Ofiste","150-199","0-1 Yıl","Mühendislik","satış temsilcisi ","Satış Temsilcisi ","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/25/2024 17:08:18","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","1-3 Yıl","Eğitim","İngilizce öğretmeni","İngilizce Öğretmeni","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 17:09:43","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Digital marketing specialist ","Digital Marketing Specialist ","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 17:09:54","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","5-7 Yıl","Çevre ve Enerji","Büro elemanı ","Büro Elemanı ","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:11:36","Erkek","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","5-7 Yıl","Sağlık ve Tıp","Veri Analisti","Veri Analisti","41.000-50.000 TL","Ek gelirim yok","Ulaşım Yardımı","%5-%10"
"9/25/2024 17:11:38","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","3-5 Yıl","Sağlık ve Tıp","Export Specialist","Export Specialist","10.000-20.000 TL","111.000-150.000 TL","Şirket Telefonu","Almadım"
"9/25/2024 17:11:47","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","5-7 Yıl","İnşaat","Proje inşaat mühendisi ","Proje Inşaat Mühendisi ","71.000-80.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 17:13:12","Erkek","Türkiye","Tam zamanlı","Ofiste","1-49","12 ve ustu","Otomotiv","Yedek Parça Uzmanı","Yedek Parça Uzmanı","71.000-80.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 17:14:01","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Turizm ve Konaklama","Kurumsal İletişim Uzmanı","Kurumsal İletişim Uzmanı","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 17:14:57","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Mühendislik","Proje ve Teklif Mühendisi ","Proje Ve Teklif Mühendisi ","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı","Almadım"
"9/25/2024 17:15:56","Kadın","Yurt dışı","Tam zamanlı","Hybrid","200 ve ustu","9-12 Yıl","Sağlık ve Tıp","Regulatory project manager","Regulatory Project Manager","120.000 TL ve üstü","150.000 TL ve üstü","Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/25/2024 17:16:12","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Diğer","Hasta ve yaşlı bakıcı ","Hasta Ve Yaşlı Bakıcı ","10.000-20.000 TL","Ek gelirim yok","Ulaşım Yardımı","Almadım"
"9/25/2024 17:19:30","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Çevre ve Enerji","kurumsal finans yatırımcı ilişkileri uzman yardımcısı","Kurumsal Finans Yatırımcı Ilişkileri Uzman Yardımcısı","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 17:20:06","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","5-7 Yıl","Eğitim","Satınalma Uzmanı","Satınalma Uzmanı","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%11-%20"
"9/25/2024 17:21:06","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","12 ve ustu","Dijital Medya ve Eğlence","Grafik tasarım ","Grafik Tasarım ","41.000-50.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:21:09","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Havacılık","Uzman yardımcısı / jr specialist ","Uzman Yardımcısı / Jr Specialist ","51.000-60.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Ulaşım Yardımı","%11-%20"
"9/25/2024 17:21:34","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","7-9 Yıl","Diğer","muhasebe kamu","Muhasebe Kamu","41.000-50.000 TL","31.000-50.000 TL","Yemek Yardımı  (Sodexo, Multinet vs), Şirket Aracı","%21-%35"
"9/25/2024 17:21:45","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Sağlık ve Tıp","Diyetisyen","Diyetisyen","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Henuz belli degil"
"9/25/2024 17:21:46","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","1-3 Yıl","İnşaat","Mimar","Mimar","21.000-30.000 TL","20.000-30.000 TL","Yan hakkim yok","Almadım"
"9/25/2024 17:21:55","Kadın","Türkiye","Yarı zamanlı","Hybrid","1-49","0-1 Yıl","Tekstil ve Hazır Giyim","Kasa Personeli ","Kasa Personeli ","10.000-20.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 17:22:27","Erkek","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","Mobile Developer","Mobile Developer","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 17:22:29","Kadın","Türkiye","Tam zamanlı","Ofiste","150-199","5-7 Yıl","Perakende ve E-tıcaret","Bölge müdür yardımcısı","Bölge Müdür Yardımcısı","21.000-30.000 TL","20.000-30.000 TL","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 17:22:45","Kadın","Türkiye","Tam zamanlı","Hybrid","150-199","0-1 Yıl","Dijital Medya ve Eğlence","Account executive","Account Executive","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%5-%10"
"9/25/2024 17:23:05","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Eğitim","Öğretmen","Öğretmen","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:24:18","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","9-12 Yıl","Üretim","International Business Manager","International Business Manager","51.000-60.000 TL","111.000-150.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Aracı","%5-%10"
"9/25/2024 17:25:48","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Diğer","Avukat","Avukat","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:26:59","Kadın","Türkiye","Tam zamanlı","Uzaktan","150-199","3-5 Yıl","Telekomünikasyon","Müşteri temsilcisi ","Müşteri Temsilcisi ","31.000-40.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 17:28:16","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Finans ve Muhasebe","Muhasebe","Muhasebe","10.000-20.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:28:32","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","9-12 Yıl","Eğitim","Öğretmen","Öğretmen","41.000-50.000 TL","20.000-30.000 TL","Yan hakkim yok","%11-%20"
"9/25/2024 17:29:10","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","3-5 Yıl","Diğer","Brand Manager","Brand Manager","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası","Almadım"
"9/25/2024 17:29:21","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Havacılık","Yapısal Analiz Mühendisliği","Yapısal Analiz Mühendisliği","71.000-80.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%21-%35"
"9/25/2024 17:29:29","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Diğer","Avukat","Avukat","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 17:29:31","Kadın","Türkiye","Tam zamanlı","Uzaktan","50-99","5-7 Yıl","İnşaat","BIM Koordinatörü ","Bim Koordinatörü ","71.000-80.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%36-%50"
"9/25/2024 17:31:09","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Mühendislik","Elektrik Kalite kontrol mühendisi ","Elektrik Kalite Kontrol Mühendisi ","41.000-50.000 TL","Ek gelirim yok","Yan hakkim yok","%11-%20"
"9/25/2024 17:31:47","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","7-9 Yıl","Diğer","Kurumsal İletişim Yönetmeni ","Kurumsal İletişim Yönetmeni ","41.000-50.000 TL","Ek gelirim yok","Yan hakkim yok","%11-%20"
"9/25/2024 17:32:02","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Perakende ve E-tıcaret","E ticaret işletme sahibi ","E Ticaret Işletme Sahibi ","41.000-50.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:32:12","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Perakende ve E-tıcaret","Budget and reporting senior specialist ","Budget And Reporting Senior Specialist ","51.000-60.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%11-%20"
"9/25/2024 17:35:20","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Diğer","Muhasebe sorumlusu ","Muhasebe Sorumlusu ","21.000-30.000 TL","150.000 TL ve üstü","Yan hakkim yok","Almadım"
"9/25/2024 17:39:14","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Diğer","Mağaza sorumlusu","Mağaza Sorumlusu","21.000-30.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:39:31","Erkek","Türkiye","Tam zamanlı","Hybrid","50-99","1-3 Yıl","Perakende ve E-tıcaret","İş Analisti","İş Analisti","41.000-50.000 TL","51.000-70.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 17:41:10","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Tekstil ve Hazır Giyim","Test Assignment Specialist","Test Assignment Specialist","21.000-30.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası","Almadım"
"9/25/2024 17:41:27","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","5-7 Yıl","İnşaat","Mimar","Mimar","51.000-60.000 TL","150.000 TL ve üstü","Yan hakkim yok","%11-%20"
"9/25/2024 17:41:35","Erkek","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Diğer","İhracat Satış Destek ve Operasyon Uzmanı","İhracat Satış Destek Ve Operasyon Uzmanı","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 17:41:52","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Dijital Medya ve Eğlence","Influencer Marketing","Influencer Marketing","10.000-20.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 17:42:46","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","Sales Development Representative","Sales Development Representative","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%5-%10"
"9/25/2024 17:42:53","Kadın","Türkiye","Tam zamanlı","Ofiste","150-199","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","İş geliştirme uzmanı","İş Geliştirme Uzmanı","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%11-%20"
"9/25/2024 17:45:05","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Frontend Developer","Frontend Developer","10.000-20.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Henuz belli degil"
"9/25/2024 17:47:04","Erkek","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Perakende ve E-tıcaret","Junior Full-stack developer","Junior Full-Stack Developer","10.000-20.000 TL","Ek gelirim yok","Yan hakkim yok","Almadım"
"9/25/2024 17:47:48","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Bilgi Teknolojileri ve Yazılım","Analist","Analist","81.000-90.000 TL","71.000-90.000 TL","Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
